WorkerID,FormId,Duration,emoji_index,emoji,word
A19AAMLW7OP5V4,65,330.0,0,#️⃣,ash
A1DD23J1WBGQUU,65,315.0,0,#️⃣,hashtag
A2C7A6E70NYNUI,65,317.0,0,#️⃣,hashtag
A2CK0OXMPOR9LE,65,521.0,0,#️⃣,pound
A272X64FOZFYLB,65,329.0,0,#️⃣,pound
A1QAUU3AJI3D7K,65,272.0,0,#️⃣,ash
A1I72NHC21347A,65,519.0,0,#️⃣,number
A31UXXZVI3U4E2,65,155.0,0,#️⃣,pound
A70TBKPGWQZO4,65,203.0,0,#️⃣,pound
A3RD4M6HFHIO7Z,65,328.0,0,#️⃣,hashtag
AA5ZDXAA2DLY1,65,228.0,0,#️⃣,pound
AGILQEFEPEK7N,65,521.0,0,#️⃣,ash
A3RYI5HXC2MJLN,65,592.0,0,#️⃣,number
AU2RMH9IZP60M,65,802.0,0,#️⃣,number
A30UE6DWFNUCWX,65,729.0,0,#️⃣,pound
AMA18W8F60Y2J,65,616.0,0,#️⃣,number
A30IRRLVNC7MZS,65,758.0,0,#️⃣,tag
A14OPFM8OFA4WF,65,504.0,0,#️⃣,pound
A1XHK92L7Q7VEU,65,549.0,0,#️⃣,hashtag
A1FP3SH704X01V,65,378.0,0,#️⃣,pound
A3CH1Z6J9R38G9,65,181.0,0,#️⃣,pound
A3BZVFD82AVLT8,65,199.0,0,#️⃣,hashtag
A2U5EPFZXHW519,65,698.0,0,#️⃣,ash
A17VFZIAVVCCSQ,65,132.0,0,#️⃣,pound
A2MOKIEQZ0OF2M,65,263.0,0,#️⃣,number
A13OMD8QDV0YON,65,105.0,0,#️⃣,number
A3CI73EFDLS3OF,65,419.0,0,#️⃣,number
A6R5AQ4D638BH,65,74.0,0,#️⃣,number
A2KX8SX5M47GPX,65,120.0,0,#️⃣,doubtful
A3VG22WR5I4UG2,65,111.0,0,#️⃣,number
A17LRY89BBPCUG,80,607.0,1,*️⃣,asterisk
A3VG22WR5I4UG2,80,215.0,1,*️⃣,pound
A70TBKPGWQZO4,80,193.0,1,*️⃣,asterisk
A13OMD8QDV0YON,80,209.0,1,*️⃣,star
AMA18W8F60Y2J,80,389.0,1,*️⃣,number
A2T007HZK66WM,80,219.0,1,*️⃣,pound
A2HRUFTA09371Y,80,327.0,1,*️⃣,asterisk
A6R5AQ4D638BH,80,115.0,1,*️⃣,star
A246S8SBDBT0DG,80,346.0,1,*️⃣,asterisk
A3VDG4N48AVYGQ,80,656.0,1,*️⃣,star
A1I3UQ6MCOD284,80,771.0,1,*️⃣,asterisk
A4LG89UTZF0AG,80,129.0,1,*️⃣,asterisk
A9A2IX3OBORBE,80,163.0,1,*️⃣,star
A2DBNCUF4O3EMG,80,151.0,1,*️⃣,star
A2MOKIEQZ0OF2M,80,530.0,1,*️⃣,snow
A2YUCJ28XANFOX,80,303.0,1,*️⃣,hospital
AQ6GU6IZHIFWZ,80,383.0,1,*️⃣,astrik
ATP2BJPDK4K2B,80,124.0,1,*️⃣,snowflake
A1DD23J1WBGQUU,80,433.0,1,*️⃣,asterisk
A3EW7EOWG8L6FI,80,178.0,1,*️⃣,star
A19AAMLW7OP5V4,80,169.0,1,*️⃣,star
AA5ZDXAA2DLY1,80,234.0,1,*️⃣,star
A1ZDR2UN7M92LI,80,447.0,1,*️⃣,asterik
AT6LDQNLKTUSE,80,257.0,1,*️⃣,asterisk
A3RYI5HXC2MJLN,80,691.0,1,*️⃣,star
A2INXY39KBM92F,80,718.0,1,*️⃣,asterisk
A39MKVROUZ1UWR,80,256.0,1,*️⃣,asterisk
A2T5CROJ0FWIJY,80,111.0,1,*️⃣,snowflake
A3CI73EFDLS3OF,16,102.0,2,©️,c
AWN1PEZWRQSQ9,16,196.0,2,©️,copywrite
AKQAI78JTXXC9,16,595.0,2,©️,call
A3J2T92V25NJ83,16,54.0,2,©️,copyright
AOMFEAWQHU3D8,16,235.0,2,©️,copyright
A2KBTDHM44J7X4,16,301.0,2,©️,copyright
A1ZH5VWU96MECI,16,294.0,2,©️,copyright
A3BZVFD82AVLT8,16,,2,©️,copyright
A20N1NK5X5S88F,16,518.0,2,©️,coin
A2VF6506WDNXKS,16,185.0,2,©️,copyright
A14OPFM8OFA4WF,16,263.0,2,©️,copywrite
A1TGZ063G5UKEC,16,326.0,2,©️,copyright
A18T7E73TNGOKP,16,331.0,2,©️,copyright
ACJFWPKW4JA59,16,274.0,2,©️,copyright
A2MOKIEQZ0OF2M,16,329.0,2,©️,copyright
A28Y4CEFC3NK1V,16,429.0,2,©️,corporation
A337Y4X67PY4QI,16,257.0,2,©️,coppyright
ADXRJFEHIDXRE,16,235.0,2,©️,copyright
A3L4HC42Y5R4ZO,16,378.0,2,©️,contact
A20VNT5IHVO401,16,274.0,2,©️,clear
A4LG89UTZF0AG,16,193.0,2,©️,copyright
A1VLMGBUUV66LD,16,92.0,2,©️,copyright
A1HBR039T867GV,16,247.0,2,©️,cee
A143XRCI1YXAFE,16,86.0,2,©️,copywrite
ACY3ZOOZMVS7Y,16,293.0,2,©️,copyright
A2D2JX8R0QU9G4,16,309.0,2,©️,copyright
A1SETQLJM04TZS,16,86.0,2,©️,copyright
A2U45Y0OV3P7D8,28,173.0,3,®️,replay
A20N1NK5X5S88F,28,398.0,3,®️,r
A2CK0OXMPOR9LE,28,414.0,3,®️,rest
A2D2JX8R0QU9G4,28,314.0,3,®️,registered
A1TGZ063G5UKEC,28,411.0,3,®️,circler
A24BRTWG07T53Z,28,553.0,3,®️,capitalr
A2T1LNI80EPOQR,28,369.0,3,®️,letter
A2MOKIEQZ0OF2M,28,620.0,3,®️,railroad
A3VL1CBZ3BGQK7,28,153.0,3,®️,branded
AKSJ3C5O3V9RB,28,600.0,3,®️,trademark
AXXA481XH6FKE,28,165.0,3,®️,r
A2G7DTL156PTKA,28,152.0,3,®️,r
A33DVD9ZMS0XXN,28,90.0,3,®️,r
A10VA2IF9D0HRI,28,169.0,3,®️,copyright
A14OPFM8OFA4WF,28,424.0,3,®️,restricted
A3TDA1NWHNQFE3,28,145.0,3,®️,icon
A1ZDR2UN7M92LI,28,269.0,3,®️,reserved
A3CI73EFDLS3OF,28,142.0,3,®️,sign
A337Y4X67PY4QI,28,399.0,3,®️,registered
A30MP4LXV4MIFD,28,172.0,3,®️,r
A1DD23J1WBGQUU,28,351.0,3,®️,r
A17VFZIAVVCCSQ,28,348.0,3,®️,copyright
A2C7A6E70NYNUI,28,443.0,3,®️,rest
A3RIX2H2NYLNC4,28,199.0,3,®️,copyright
A3BZVFD82AVLT8,28,224.0,3,®️,right
AT6LDQNLKTUSE,28,200.0,3,®️,registered
A2SENAPNSXG9L,28,209.0,3,®️,r
A20N1NK5X5S88F,24,536.0,4,‼️,exclamation
A2D2JX8R0QU9G4,24,,4,‼️,exclamation
A1G3AUP2433Z2Q,24,75.0,4,‼️,important
A3CI73EFDLS3OF,24,152.0,4,‼️,exclamation
A26TP4HHSINK5E,24,178.0,4,‼️,exclamation
A15I8IS3MKV4GQ,24,120.0,4,‼️,angry
A2SENAPNSXG9L,24,153.0,4,‼️,exclamation
AKSJ3C5O3V9RB,24,474.0,4,‼️,attention
A18T7E73TNGOKP,24,385.0,4,‼️,exclaim
A1J1ZM062PH3FN,24,355.0,4,‼️,think
A143XRCI1YXAFE,24,154.0,4,‼️,surprise
A2YLK83DQ6PA5Y,24,274.0,4,‼️,exclamation
A17VFZIAVVCCSQ,24,194.0,4,‼️,attention
A14OPFM8OFA4WF,24,97.0,4,‼️,punctuation
AXXA481XH6FKE,24,363.0,4,‼️,exclamation
A272X64FOZFYLB,24,338.0,4,‼️,surprise
A2C7A6E70NYNUI,24,253.0,4,‼️,urgent
A2R6UQCQ8T3RZE,24,100.0,4,‼️,alert
A26OOAGHOYSGYF,24,55.0,4,‼️,excited
A1DD23J1WBGQUU,24,383.0,4,‼️,important
A337Y4X67PY4QI,24,119.0,4,‼️,exclamation
AY645XMBR8TSQ,24,393.0,4,‼️,exclamation
A3OHYXTHW11HS7,24,182.0,4,‼️,important
ADXRJFEHIDXRE,24,119.0,4,‼️,alert
A2TUUIV61CR0C7,24,112.0,4,‼️,alarm
A3VL1CBZ3BGQK7,24,201.0,4,‼️,excalmation
A1TW2BZRRS874Z,24,430.0,4,‼️,exclamation
A20VNT5IHVO401,24,371.0,4,‼️,alert
A3BZVFD82AVLT8,24,201.0,4,‼️,surprise
A2T5CROJ0FWIJY,71,291.0,5,⁉️,confused
A1DD23J1WBGQUU,71,372.0,5,⁉️,question
A2C7A6E70NYNUI,71,156.0,5,⁉️,surprised
A2CK0OXMPOR9LE,71,453.0,5,⁉️,confusion
A272X64FOZFYLB,71,106.0,5,⁉️,surprised
A2C84POENS2UNY,71,58.0,5,⁉️,shock
AKQAI78JTXXC9,71,82.0,5,⁉️,surprise
A1I72NHC21347A,71,566.0,5,⁉️,questions
A337Y4X67PY4QI,71,397.0,5,⁉️,what
A13OMD8QDV0YON,71,139.0,5,⁉️,confused
A2SENAPNSXG9L,71,102.0,5,⁉️,symbols
AA5ZDXAA2DLY1,71,260.0,5,⁉️,sentences
AAQREZOK13OV7,71,175.0,5,⁉️,what
A2MOKIEQZ0OF2M,71,827.0,5,⁉️,question
A3CH1Z6J9R38G9,71,447.0,5,⁉️,what
A1L2N1X8U8Z3W7,71,227.0,5,⁉️,surprise
AT6LDQNLKTUSE,71,307.0,5,⁉️,confusion
AMA18W8F60Y2J,71,210.0,5,⁉️,exclamation
ARUL5Y3NWDRYK,71,759.0,5,⁉️,question
A27VFM67RPD2L5,71,501.0,5,⁉️,confused
A1J7VD5KF0A442,71,237.0,5,⁉️,question
A26TP4HHSINK5E,71,114.0,5,⁉️,punctuation
A3V1VK1A3NYN17,71,828.0,5,⁉️,alarmed
ADXRJFEHIDXRE,71,349.0,5,⁉️,exclamation
A2TUUIV61CR0C7,71,86.0,5,⁉️,shock
A3CI73EFDLS3OF,71,279.0,5,⁉️,exclaim
A17LRY89BBPCUG,71,514.0,5,⁉️,exclamationquestion
A3OP9SCMH0KPJL,71,536.0,5,⁉️,what
A14OPFM8OFA4WF,71,674.0,5,⁉️,punctuation
AT6LDQNLKTUSE,94,285.0,6,™️,trademark
A9A2IX3OBORBE,94,760.0,6,™️,trademark
A1YSYI926BBOHW,94,783.0,6,™️,trademark
A9A2IX3OBORBE,94,530.0,6,™️,trademark
A2G7DTL156PTKA,94,405.0,6,™️,trademark
A3OP24TYKA619W,94,197.0,6,™️,trademark
A3N40Z29QX64UJ,94,449.0,6,™️,trademark
A2C7A6E70NYNUI,94,809.0,6,™️,tm
A1QAUU3AJI3D7K,94,450.0,6,™️,tm
A2RWLFIP23FZA7,94,403.0,6,™️,tm
A22F8STPRATDOB,94,292.0,6,™️,trademark
AXXA481XH6FKE,94,130.0,6,™️,tm
A3VDG4N48AVYGQ,94,159.0,6,™️,trademark
A2MOKIEQZ0OF2M,94,311.0,6,™️,tm
A2VF6506WDNXKS,94,152.0,6,™️,trademark
A3BU8UL4W258UU,94,338.0,6,™️,trademark
A2HRUFTA09371Y,94,344.0,6,™️,tm
A19AAMLW7OP5V4,94,200.0,6,™️,letter
A2SENAPNSXG9L,94,358.0,6,™️,trademark
A3RYI5HXC2MJLN,94,671.0,6,™️,trademark
A272X64FOZFYLB,94,342.0,6,™️,trademark
A1I72NHC21347A,94,559.0,6,™️,text
A1N1ULK71RHVMM,94,79.0,6,™️,trademark
A39MKVROUZ1UWR,94,588.0,6,™️,trademark
A6R5AQ4D638BH,94,200.0,6,™️,trademark
A26TP4HHSINK5E,94,224.0,6,™️,letters
A1WKX933Q1TCZY,94,623.0,6,™️,tm
AIOOOO5OXWXKM,94,127.0,6,™️,trademark
A1CY01G7686ORZ,94,645.0,6,™️,trademark
A3CH1Z6J9R38G9,94,825.0,6,™️,trademark
A13OMD8QDV0YON,59,50.0,7,ℹ️,info
A3HHDPKL3O3O7Y,59,149.0,7,ℹ️,i
A3CI73EFDLS3OF,59,416.0,7,ℹ️,information
A3RIX2H2NYLNC4,59,78.0,7,ℹ️,information
A2D2JX8R0QU9G4,59,291.0,7,ℹ️,information
A31681CCEVDIH3,59,417.0,7,ℹ️,information
A1TW2BZRRS874Z,59,362.0,7,ℹ️,i
AXPZAP62ZYWP8,59,388.0,7,ℹ️,information
A2A46VB7JDA2EM,59,260.0,7,ℹ️,i
A6R5AQ4D638BH,59,440.0,7,ℹ️,information
A30UE6DWFNUCWX,59,573.0,7,ℹ️,information
A3VG22WR5I4UG2,59,351.0,7,ℹ️,indeed
A3PJLANVHZPRVO,59,225.0,7,ℹ️,information
AOMFEAWQHU3D8,59,514.0,7,ℹ️,information
ASY5W2HJPIPF4,59,80.0,7,ℹ️,information
AMA18W8F60Y2J,59,287.0,7,ℹ️,internet
A2U5EPFZXHW519,59,681.0,7,ℹ️,awesome
A70TBKPGWQZO4,59,404.0,7,ℹ️,information
A8E3Z8XA32R90,59,641.0,7,ℹ️,hand
A13FUEPWBCLBUY,59,776.0,7,ℹ️,information
A1YZXZITMRNKUK,59,61.0,7,ℹ️,information
A2KX8SX5M47GPX,59,320.0,7,ℹ️,emotional
A1I3UQ6MCOD284,59,602.0,7,ℹ️,letter
A32WUBFHQKYYIW,59,178.0,7,ℹ️,exclamation
A18T7E73TNGOKP,59,338.0,7,ℹ️,i
A1DD23J1WBGQUU,59,410.0,7,ℹ️,information
A1TGZ063G5UKEC,59,138.0,7,ℹ️,i
AM5DZDG51U3XO,4,99.0,8,↔️,across
AUIRZWDQI6HX0,4,108.0,8,↔️,turn
A1PBRKFHSF1OF8,4,52.0,8,↔️,leftorright
A1CQVSXL1IXJH0,4,72.0,8,↔️,arrow
ACY3ZOOZMVS7Y,4,197.0,8,↔️,direction
A10T0161B70BXP,4,91.0,8,↔️,arrows
ANLHIS7CZAZVQ,4,81.0,8,↔️,arrow
A2752O3APH9E8J,4,136.0,8,↔️,direction
A2D2JX8R0QU9G4,4,258.0,8,↔️,wider
A22F8STPRATDOB,4,571.0,8,↔️,horizontal
A3O00K7Q34WM1E,4,164.0,8,↔️,directions
